Year , Single_Threshold , Joint_Threshold , Rate_Pct
2013 , 200000           , 250000          , 0.9     
2014 , 200000           , 250000          , 0.9     
2015 , 200000           , 250000          , 0.9     
2016 , 200000           , 250000          , 0.9     
2017 , 200000           , 250000          , 0.9     
2018 , 200000           , 250000          , 0.9     
2019 , 200000           , 250000          , 0.9     
2020 , 200000           , 250000          , 0.9     
2021 , 200000           , 250000          , 0.9     
2022 , 200000           , 250000          , 0.9     
2023 , 200000           , 250000          , 0.9     
2024 , 200000           , 250000          , 0.9     
2025 , 200000           , 250000          , 0.9     
2026 , 200000           , 250000          , 0.9