Year , SS_Rate_Pct , Med_Rate_Pct , Total_Pct , SS_Wage_Base_USD , Med_Wage_Base_USD
1937 , 1.000       , 0.000        , 1.000     , 3000            , N/A              
1938 , 1.000       , 0.000        , 1.000     , 3000            , N/A              
1939 , 1.000       , 0.000        , 1.000     , 3000            , N/A              
1940 , 1.000       , 0.000        , 1.000     , 3000            , N/A              
1941 , 1.000       , 0.000        , 1.000     , 3000            , N/A              
1942 , 1.000       , 0.000        , 1.000     , 3000            , N/A              
1943 , 1.000       , 0.000        , 1.000     , 3000            , N/A              
1944 , 1.000       , 0.000        , 1.000     , 3000            , N/A              
1945 , 1.000       , 0.000        , 1.000     , 3000            , N/A              
1946 , 1.000       , 0.000        , 1.000     , 3000            , N/A              
1947 , 1.000       , 0.000        , 1.000     , 3000            , N/A              
1948 , 1.000       , 0.000        , 1.000     , 3000            , N/A              
1949 , 1.000       , 0.000        , 1.000     , 3000            , N/A              
1950 , 1.500       , 0.000        , 1.500     , 3000            , N/A              
1951 , 1.500       , 0.000        , 1.500     , 3600            , N/A              
1952 , 1.500       , 0.000        , 1.500     , 3600            , N/A              
1953 , 1.500       , 0.000        , 1.500     , 3600            , N/A              
1954 , 2.000       , 0.000        , 2.000     , 3600            , N/A              
1955 , 2.000       , 0.000        , 2.000     , 4200            , N/A              
1956 , 2.000       , 0.000        , 2.000     , 4200            , N/A              
1957 , 2.250       , 0.000        , 2.250     , 4200            , N/A              
1958 , 2.250       , 0.000        , 2.250     , 4200            , N/A              
1959 , 2.500       , 0.000        , 2.500     , 4800            , N/A              
1960 , 3.000       , 0.000        , 3.000     , 4800            , N/A              
1961 , 3.000       , 0.000        , 3.000     , 4800            , N/A              
1962 , 3.125       , 0.000        , 3.125     , 4800            , N/A              
1963 , 3.625       , 0.000        , 3.625     , 4800            , N/A              
1964 , 3.625       , 0.000        , 3.625     , 4800            , N/A              
1965 , 3.625       , 0.000        , 3.625     , 4800            , N/A              
1966 , 3.850       , 0.350        , 4.200     , 6600            , 6600             
1967 , 3.900       , 0.500        , 4.400     , 6600            , 6600             
1968 , 3.800       , 0.600        , 4.400     , 7800            , 7800             
1969 , 4.200       , 0.600        , 4.800     , 7800            , 7800             
1970 , 4.200       , 0.600        , 4.800     , 7800            , 7800             
1971 , 4.600       , 0.600        , 5.200     , 7800            , 7800             
1972 , 4.600       , 0.600        , 5.200     , 9000            , 9000             
1973 , 4.850       , 1.000        , 5.850     , 10800           , 10800            
1974 , 4.950       , 0.900        , 5.850     , 13200           , 13200            
1975 , 4.950       , 0.900        , 5.850     , 14100           , 14100            
1976 , 4.950       , 0.900        , 5.850     , 15300           , 15300            
1977 , 4.950       , 0.900        , 5.850     , 16500           , 16500            
1978 , 5.050       , 1.000        , 6.050     , 17700           , 17700            
1979 , 5.080       , 1.050        , 6.130     , 22900           , 22900            
1980 , 5.080       , 1.050        , 6.130     , 25900           , 25900            
1981 , 5.350       , 1.300        , 6.650     , 29700           , 29700            
1982 , 5.400       , 1.300        , 6.700     , 32400           , 32400            
1983 , 5.400       , 1.300        , 6.700     , 35700           , 35700            
1984 , 5.700       , 1.300        , 7.000     , 37800           , 37800            
1985 , 5.700       , 1.350        , 7.050     , 39600           , 39600            
1986 , 5.700       , 1.450        , 7.150     , 42000           , 42000            
1987 , 5.700       , 1.450        , 7.150     , 43800           , 43800            
1988 , 6.060       , 1.450        , 7.510     , 45000           , 45000            
1989 , 6.060       , 1.450        , 7.510     , 48000           , 48000            
1990 , 6.200       , 1.450        , 7.650     , 51300           , 51300            
1991 , 6.200       , 1.450        , 7.650     , 53400           , 125000           
1992 , 6.200       , 1.450        , 7.650     , 55500           , 130200           
1993 , 6.200       , 1.450        , 7.650     , 57600           , 135000           
1994 , 6.200       , 1.450        , 7.650     , 60600           , Unlimited        
1995 , 6.200       , 1.450        , 7.650     , 61200           , Unlimited        
1996 , 6.200       , 1.450        , 7.650     , 62700           , Unlimited        
1997 , 6.200       , 1.450        , 7.650     , 65400           , Unlimited        
1998 , 6.200       , 1.450        , 7.650     , 68400           , Unlimited        
1999 , 6.200       , 1.450        , 7.650     , 72600           , Unlimited        
2000 , 6.200       , 1.450        , 7.650     , 76200           , Unlimited        
2001 , 6.200       , 1.450        , 7.650     , 80400           , Unlimited        
2002 , 6.200       , 1.450        , 7.650     , 84900           , Unlimited        
2003 , 6.200       , 1.450        , 7.650     , 87000           , Unlimited        
2004 , 6.200       , 1.450        , 7.650     , 87900           , Unlimited        
2005 , 6.200       , 1.450        , 7.650     , 90000           , Unlimited        
2006 , 6.200       , 1.450        , 7.650     , 94200           , Unlimited        
2007 , 6.200       , 1.450        , 7.650     , 97500           , Unlimited        
2008 , 6.200       , 1.450        , 7.650     , 102000          , Unlimited        
2009 , 6.200       , 1.450        , 7.650     , 106800          , Unlimited        
2010 , 6.200       , 1.450        , 7.650     , 106800          , Unlimited        
2011 , 4.200       , 1.450        , 5.650     , 106800          , Unlimited        
2012 , 4.200       , 1.450        , 5.650     , 110100          , Unlimited        
2013 , 6.200       , 1.450        , 7.650     , 113700          , Unlimited        
2014 , 6.200       , 1.450        , 7.650     , 117000          , Unlimited        
2015 , 6.200       , 1.450        , 7.650     , 118500          , Unlimited        
2016 , 6.200       , 1.450        , 7.650     , 118500          , Unlimited        
2017 , 6.200       , 1.450        , 7.650     , 127200          , Unlimited        
2018 , 6.200       , 1.450        , 7.650     , 128400          , Unlimited        
2019 , 6.200       , 1.450        , 7.650     , 132900          , Unlimited        
2020 , 6.200       , 1.450        , 7.650     , 137700          , Unlimited        
2021 , 6.200       , 1.450        , 7.650     , 142800          , Unlimited        
2022 , 6.200       , 1.450        , 7.650     , 147000          , Unlimited        
2023 , 6.200       , 1.450        , 7.650     , 160200          , Unlimited        
2024 , 6.200       , 1.450        , 7.650     , 168600          , Unlimited        
2025 , 6.200       , 1.450        , 7.650     , 176100          , Unlimited        
2026 , 6.200       , 1.450        , 7.650     , 184500          , Unlimited